CODIGO ORDEN DE SERVICIO,DENOMINACION DEL SERVICIO,TIPO DE INTERVENCION,CODIGO ENTIDAD,ENTIDAD,REGION,PROVINCIA,DISTRITO,¿TIENE SITUACIONES DE INCUMPLIMIENTO?,N° INFORME DE CONTROL,TIPO DE VISITA,VALOR REFERENCIAL MONTO,MONTO ADJUDICADO,CANTIDAD SITUACION ADVERSAS,SITUACION ADVERSAS 1,SITUACION ADVERSAS 2,SITUACION ADVERSAS 3,SITUACION ADVERSAS 4,SITUACION ADVERSAS 5,SITUACION ADVERSAS 6,FECHA VISITA,MES DE VISITA,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,346,MUNICIPALIDAD PROVINCIAL DE YUNGAY,ANCASH,YUNGAY,YUNGAY,SI,11252-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,10782-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,348,MUNICIPALIDAD PROVINCIAL DE AYMARAES,APURIMAC,AYMARAES,CHALHUANCA,SI,10974-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,349,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,SI,10983-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,351,MUNICIPALIDAD PROVINCIAL DE COTABAMBAS,APURIMAC,COTABAMBAS,TAMBOBAMBA,SI,12231-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,352,MUNICIPALIDAD PROVINCIAL DE GRAU,APURIMAC,GRAU,CHUQUIBAMBILLA,SI,10783-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,353,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,SI,10787-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,354,MUNICIPALIDAD PROVINCIAL DE CAMANA,AREQUIPA,CAMANA,CAMANA,SI,12238-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,355,MUNICIPALIDAD PROVINCIAL DE CARAVELI,AREQUIPA,CARAVELI,CARAVELI,SI,11328-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,356,MUNICIPALIDAD PROVINCIAL DE CASTILLA,AREQUIPA,CASTILLA,APLAO,SI,10972-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,357,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA,CAYLLOMA,CHIVAY,SI,12239-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,359,MUNICIPALIDAD PROVINCIAL DE ISLAY,AREQUIPA,ISLAY,MOLLENDO,SI,10958-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,361,MUNICIPALIDAD PROVINCIAL DE CANGALLO,AYACUCHO,CANGALLO,CANGALLO,SI,11363-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,HUAMANGA,AYACUCHO,SI,10790-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,363,MUNICIPALIDAD PROVINCIAL DE HUANTA,AYACUCHO,HUANTA,HUANTA,SI,12244-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,364,MUNICIPALIDAD PROVINCIAL DE LA MAR,AYACUCHO,LA MAR,SAN MIGUEL,SI,12245-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,365,MUNICIPALIDAD PROVINCIAL DE LUCANAS,AYACUCHO,LUCANAS,PUQUIO,SI,10791-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,366,MUNICIPALIDAD PROVINCIAL DE PARINACOCHAS,AYACUCHO,PARINACOCHAS,CORACORA,SI,11364-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,368,MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,SI,10806-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,369,MUNICIPALIDAD PROVINCIAL DE CAJABAMBA,CAJAMARCA,CAJABAMBA,CAJABAMBA,SI,12251-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,370,MUNICIPALIDAD PROVINCIAL DE CELENDÍN,CAJAMARCA,CELENDIN,CELENDIN,SI,11402-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,371,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA,CONTUMAZA,CONTUMAZA,SI,11403-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,372,MUNICIPALIDAD PROVINCIAL DE CUTERVO,CAJAMARCA,CUTERVO,CUTERVO,SI,12252-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,373,MUNICIPALIDAD PROVINCIAL DE CHOTA,CAJAMARCA,CHOTA,CHOTA,SI,12253-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,374,MUNICIPALIDAD PROVINCIAL DE HUALGAYOC,CAJAMARCA,HUALGAYOC,BAMBAMARCA,SI,12254-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,375,MUNICIPALIDAD PROVINCIAL DE JAÉN,CAJAMARCA,JAEN,JAEN,SI,12255-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,376,MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,SI,12256-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,377,MUNICIPALIDAD PROVINCIAL DE SAN MIGUEL,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,SI,11404-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,378,MUNICIPALIDAD PROVINCIAL DE SANTA CRUZ,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,SI,10808-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,379,MUNICIPALIDAD PROVINCIAL DEL CALLAO,P. C. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,SI,10728-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,380,MUNICIPALIDAD PROVINCIAL DE ACOMAYO,CUSCO,ACOMAYO,ACOMAYO,SI,11457-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,381,MUNICIPALIDAD PROVINCIAL DE ANTA,CUSCO,ANTA,ANTA,SI,11458-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
NO REGISTRADO,"LA ENTIDAD NO HA ACTUALIZADO SU PORTAL DE TRANSPARENCIA ESTÁNDAR - PTE, CON EL CONTENIDO ESTABLECIDO EN LA NORMATIVA VIGENTE; AFECTANDO EL ACCESO A INFORMACIÓN COMPLETA Y ACTUALIZADA SOBRE LOS ACTOS DE LA ADMINISTRACIÓN PÚBLICA POR PARTE DE LA CIUDADANÍA E INSTITUCIONES; ASIMISMO, LA PROMOCIÓN DE UNA CULTURA DE TRANSPARENCIA Y EL FORTALECIMIENTO DE LA VIGILANCIA CIUDADANA",PTE,382,MUNICIPALIDAD PROVINCIAL DE CALCA,CUSCO,CALCA,CALCA,SI,11459-2021-CG/SADEN-AOP,NO PRECISA,,0,1,La entidad no actualiza su PTE,,,,,,10/02/2021,,,,
